Date,Mesonet,104,105,303,304,
3/21/2016,0.35,0.48,0.47,0.49,.,
3/22/2016,0.00,0.00,0.00,0.00,.,
3/23/2016,0.00,0.00,0.00,0.00,.,
3/24/2016,0.00,0.00,0.00,0.00,.,
3/25/2016,0.39,0.72,0.78,0.78,.,
3/26/2016,0.16,0.20,0.16,0.18,.,
3/27/2016,0.00,0.00,0.00,0.00,.,
3/28/2016,0.00,0.00,0.00,0.00,.,
3/29/2016,0.00,0.00,0.00,0.00,.,
3/30/2016,0.13,0.24,0.18,0.13,.,
3/31/2016,0.00,0.00,0.00,0.00,.,
4/1/2016,0.14,0.17,0.19,0.23,.,
4/2/2016,0.07,0.00,0.00,0.01,.,
4/3/2016,0.00,0.00,0.00,0.00,0.00,
4/4/2016,0.43,0.45,0.48,0.52,0.47,
4/5/2016,0.00,0.00,0.00,0.00,0.00,
4/6/2016,0.00,0.00,0.00,0.00,0.00,
4/7/2016,0.00,0.00,0.00,0.00,0.00,
4/8/2016,0.00,0.00,0.00,0.00,0.00,
4/9/2016,0.00,0.00,0.00,0.00,0.00,
4/10/2016,0.33,0.59,0.61,0.63,0.62,
4/11/2016,0.23,0.21,0.20,0.21,0.21,
4/12/2016,0.00,0.00,0.00,0.00,0.00,
4/13/2016,0.00,0.00,0.00,0.00,0.00,
4/14/2016,0.96,1.29,1.18,1.18,1.20,
4/15/2016,0.03,0.02,0.02,0.03,0.02,
4/16/2016,0.00,0.00,0.00,0.00,0.00,
4/17/2016,0.00,0.00,0.00,0.00,0.00,
4/18/2016,0.00,0.00,0.00,0.00,0.00,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
