Date,Mesonet,104,105,303,304
3/28/2017,0.35,,,,0.09
3/29/2017,2.01,,,,2.34
3/30/2017,0.14,,,,0.13
3/31/2017,0.00,,,,0.01
4/1/2017,0.07,,,,0.04
4/2/2017,0.07,,,,0.06
4/3/2017,0.73,,,,0.72
4/4/2017,0.97,,,,0.86
4/5/2017,0.29,,,,0.41
4/6/2017,0.00,,,,0.00
4/7/2017,0.00,,,,0.00
4/8/2017,0.00,,,,0.00
4/9/2017,0.00,,,,0.00
4/10/2017,0.00,,,,0.00
4/11/2017,0.00,,,,0.00
4/12/2017,0.14,,,,0.15
4/13/2017,0.05,,,,0.00
4/14/2017,0.08,,,,0.13
4/15/2017,0.04,,,,0.07
4/16/2017,0.23,,,,0.18
4/17/2017,0.00,,,,0.01
4/18/2017,0.00,,,,0.00
4/19/2017,0.70,,,,0.11
4/20/2017,0.01,,,,0.60
4/21/2017,0.03,,,,0.02
4/22/2017,0.00,,,,0.00
4/23/2017,0.00,,,,0.00
4/24/2017,0.00,,,,0.00
4/25/2017,0.00,,,,0.00
4/26/2017,0.00,,,,0.00
4/27/2017,0.15,,,,0.12
4/28/2017,0.24,,,,0.27
4/29/2017,0.48,,,,0.46
4/30/2017,0.71,,,,0.73
5/1/2017,0.01,,,,0.04
5/2/2017,0.00,,,,0.00
5/3/2017,0.06,,,,0.05
5/4/2017,0.00,,,,0.00
5/5/2017,0.00,,,,0.00
5/6/2017,0.00,,0.00,0.00,0.00
5/7/2017,0.00,,0.00,0.00,0.00
5/8/2017,0.00,,0.00,0.00,0.00
5/9/2017,0.00,,0.00,0.00,0.00
5/10/2017,0.06,,0.00,0.00,0.00
5/11/2017,0.32,,0.30,0.31,0.33
5/12/2017,0.00,,0.00,0.00,0.00
5/13/2017,0.00,,0.00,0.00,0.00
5/14/2017,0.00,,0.00,0.00,0.00
5/15/2017,0.00,,0.00,0.00,0.00
5/16/2017,0.00,,,0.00,0.00
5/17/2017,0.00,,,0.01,0.02
5/18/2017,0.98,,,1.22,0.94
5/19/2017,0.77,0.69,,0.63,0.70
5/20/2017,0.00,0.02,,0.01,0.01
5/21/2017,0.00,0.00,,0.00,0.00
5/22/2017,0.38,0.38,,0.36,0.36
5/23/2017,0.03,0.03,,0.03,0.03
5/24/2017,0.00,0.00,,0.00,0.00
5/25/2017,0.12,0.01,,0.00,0.01
5/26/2017,0.06,0.18,,0.18,0.17
5/27/2017,0.65,0.74,,0.77,0.73
5/28/2017,0.00,0.00,,0.00,0.00
5/29/2017,0.00,0.00,,0.00,0.00
5/30/2017,0.00,0.00,,0.00,0.00
5/31/2017,0.37,0.30,,0.34,0.33
6/1/2017,0.05,0.05,0.04,0.05,0.04
6/2/2017,0.00,0.00,0.00,0.00,0.00
6/3/2017,0.04,0.03,0.01,0.01,0.02
6/4/2017,0.00,0.00,0.00,0.00,0.00
6/5/2017,0.00,0.00,0.00,0.00,0.00
6/6/2017,0.00,0.00,0.00,0.00,0.00
6/7/2017,0.00,0.00,0.00,0.00,0.00
6/8/2017,0.00,0.00,0.00,0.00,0.00
6/9/2017,0.00,0.00,0.00,0.00,0.00
6/10/2017,0.00,0.00,0.00,0.00,0.00
6/11/2017,0.00,0.00,0.00,0.00,0.00
6/12/2017,0.00,,,,
6/13/2017,0.00,,,,
6/14/2017,0.00,,,,0.00
6/15/2017,0.06,,,,0.00
6/16/2017,0.00,,,,0.00
6/17/2017,0.03,,,0.00,0.00
6/18/2017,0.02,,,0.05,0.05
6/19/2017,0.00,,,0.00,0.00
6/20/2017,0.01,,,0.01,0.01
6/21/2017,0.00,,,0.00,0.00
6/22/2017,0.00,,,0.00,0.00
6/23/2017,0.00,,,0.00,0.00
6/24/2017,0.00,,,0.00,0.00
6/25/2017,0.09,,,0.08,0.09
6/26/2017,0.04,,,0.06,0.05
6/27/2017,0.01,,,0.00,0.00
6/28/2017,0.00,,,0.01,0.01
6/29/2017,2.03,1.93,1.88,1.81,1.95
6/30/2017,0.44,0.44,0.49,0.45,0.46
7/1/2017,0.00,0.00,0.00,0.00,0.00
7/2/2017,0.00,0.00,0.00,0.00,0.00
7/3/2017,0.00,0.00,0.00,0.00,0.00
7/4/2017,0.00,0.00,0.00,0.00,0.00
7/5/2017,0.00,0.00,0.00,0.00,0.00
7/6/2017,0.00,0.00,0.00,0.00,0.00
7/7/2017,0.00,0.00,0.00,0.00,0.00
7/8/2017,0.00,0.00,0.00,0.00,0.00
7/9/2017,0.00,0.00,0.00,0.00,0.00
7/10/2017,0.00,0.00,0.00,0.00,0.00
7/11/2017,0.00,0.00,0.00,0.00,0.00
7/12/2017,0.00,0.00,0.00,0.00,0.00
7/13/2017,0.00,0.00,0.00,0.00,0.00
7/14/2017,0.00,0.00,0.00,0.00,0.00
7/15/2017,0.00,0.00,0.00,0.00,0.00
7/16/2017,0.00,0.00,0.00,0.00,0.00
7/17/2017,0.00,0.00,0.00,0.00,0.00
7/18/2017,0.00,0.00,0.00,0.01,0.01
7/19/2017,0.00,0.00,0.00,0.00,0.00
7/20/2017,0.00,0.00,0.00,0.00,0.00
7/21/2017,0.00,0.00,0.00,0.00,0.00
7/22/2017,0.40,0.37,0.40,0.38,0.40
7/23/2017,0.00,0.01,0.00,0.00,0.01
7/24/2017,0.00,0.00,0.00,0.00,0.00
7/25/2017,0.00,0.00,0.00,0.00,0.00
7/26/2017,0.83,0.74,0.73,0.70,0.78
7/27/2017,0.05,0.07,0.06,0.06,0.06
